1,Massachusetts,New Jersey
2,Arkansas,Kentucky
3,Alabama,Arizona,Colorado,Delaware,Florida,Georgia,Idaho,Indiana,Maine,Michigan,Minnesota,Missouri,Montana,Nevada,New Hampshire,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Utah,Vermont,Washington,Wisconsin
4,New Mexico
5,Iowa
6,Texas
7,Alaska,California,Connecticut,District of Columbia,Hawaii,Illinois,Louisiana,Maryland,Mississippi,New York,North Dakota,Oklahoma,Virginia,West Virginia,Wyoming,Puerto Rico
8,Kansas
9,Nebraska
10,South Dakota
